Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-10 00:00:00-05:00,19.94079054834021,20.275999986749696,19.94079054834021,20.196388244628906,4932600,0.0,0.0
2009-12-11 00:00:00-05:00,20.343049315334433,20.78301196407287,20.242487246231214,20.65730857849121,3528800,0.0,0.0
2009-12-14 00:00:00-05:00,20.8458599570581,21.13497784133826,20.783007478629624,21.067935943603516,3947400,0.0,0.0
2009-12-15 00:00:00-05:00,21.005088990256525,21.038609146187667,20.85005327405866,20.917095184326172,2567200,0.0,0.0
2009-12-16 00:00:00-05:00,21.026041200626267,21.18945577187172,20.73692323599241,20.75787353515625,2353600,0.0,0.0
2009-12-17 00:00:00-05:00,20.661499825083293,20.678259104515238,20.15030423988478,20.175445556640625,3092200,0.0,0.0
2009-12-18 00:00:00-05:00,20.263435525057695,20.263435525057695,19.7312897006596,19.898895263671875,3995600,0.0,0.0
2009-12-21 00:00:00-05:00,19.92822448518741,20.31371501309559,19.92822448518741,20.100019454956055,2784800,0.0,0.0
2009-12-22 00:00:00-05:00,20.049742572865295,20.25924877153016,19.995272112064352,20.141925811767578,2945800,0.0,0.0
2009-12-23 00:00:00-05:00,20.213157690400912,20.301149905608074,20.133544316104118,20.25505828857422,1582200,0.0,0.0
2009-12-24 00:00:00-05:00,20.29276456324483,20.53160143161778,20.29276456324483,20.4436092376709,382600,0.0,0.0
2009-12-28 00:00:00-05:00,20.4771321237382,20.699209745599187,20.4771321237382,20.653118133544922,2199200,0.0,0.0
2009-12-29 00:00:00-05:00,20.632173149543036,20.883579972970125,20.56932064448346,20.70759391784668,1600000,0.0,0.0
2009-12-30 00:00:00-05:00,20.640542052035237,20.703394526827537,20.514838700855464,20.60283088684082,1166000,0.0,0.0
2009-12-31 00:00:00-05:00,20.632160814249257,20.720152990000535,20.263429641723633,20.263429641723633,1148000,0.0,0.0
2010-01-04 00:00:00-05:00,20.401706624166817,20.48550939691658,20.208961365725827,20.338855743408203,3508400,0.0,0.0
2010-01-05 00:00:00-05:00,20.276005795146318,20.317907985954005,19.965937575195138,20.259244918823242,3246000,0.0,0.0
2010-01-06 00:00:00-05:00,20.3723749856704,20.485508484080597,20.179629735818153,20.322093963623047,4447200,0.0,0.0
2010-01-07 00:00:00-05:00,20.28857631497188,20.615407020312052,20.062310870850464,20.577695846557617,3864800,0.0,0.0
2010-01-08 00:00:00-05:00,20.47713446152078,20.686640650482047,20.343050628458,20.661500930786133,2221600,0.0,0.0
2010-01-11 00:00:00-05:00,20.732729393506652,20.879384664491138,20.338858388289896,20.85843276977539,3271600,0.0,0.0
2010-01-12 00:00:00-05:00,20.778824285138775,21.126603734338968,20.678260609202997,20.766254425048828,3761000,0.0,0.0
